,TravelMotives,Population,TravelModes,RegionCharacteristics,Periods,Trip in a year,Km travelled in a year,Hours travelled in a year,UserId
4679,2030190,A048709,A018982,PV27    ,2019JJ00,       .,       .,       .,2228
4680,2030200,,A018985,PV21    ,2020JJ00,      33,      33,     6.0,1532
4681,2030170,A048710,A018985,PV22    ,2018JJ00,       .,       .,       .,3191
4682,2030250,A048710,A018984,PV23    ,2020JJ00,      26,      58,     5.2,996
4683,2030250,A048709,A018984,PV22    ,2019JJ00,       .,       .,       .,249
4684,2030250,A048710,A048583,PV25    ,2022JJ00,      62,     601,    16.5,3289
4685,2030190,A048710,A018984,PV22    ,2020JJ00,       .,       .,       .,879
4686,2030230,A048710,T001093,PV22    ,2020JJ00,     125,    1199,    55.6,1328
4687,2030210,A048709,A048583,PV31    ,2019JJ00,       .,       .,       .,1989
4688,2030200,A048710,A018981,PV26    ,2021JJ00,       .,       .,       .,2747
4689,2030230,A048710,A018981,PV29    ,2022JJ00,       .,       .,       .,2969
4690,2030240,A048709,A018981,PV20    ,2021JJ00,       .,       .,       .,678
4691,2820740,A048709,A018984,PV30    ,2020JJ00,       .,       .,       .,3165
4692,2820740,A048709,T001093,PV22    ,2022JJ00,      36,    1093,    21.1,1819
4693,2820740,A048710,A018982,PV21    ,2021JJ00,       .,       .,       .,1269
4694,2030240,A048709,A018985,PV29    ,2018JJ00,      45,     150,    38.4,1605
4695,2030220,A048710,T001093,PV27    ,2019JJ00,      88,    1948,    52.1,1001
4696,2030240,A048710,T001093,PV20    ,2022JJ00,     101,     860,    96.4,2
4697,2820740,A048709,T001093,PV25    ,2020JJ00,      32,     881,    17.8,990
4698,2030200,A048709,A048584,PV28    ,2021JJ00,      20,     211,     6.4,2446
4699,2030240,A048710,A018986,PV27    ,2019JJ00,       .,       .,       .,3482
4700,2030240,A048709,A018984,PV25    ,2018JJ00,      13,     232,    26.0,2392
4701,2820740,A048710,A048584,PV31    ,2022JJ00,       .,       .,       .,2353
4702,2030220,A048710,A018984,PV21    ,2021JJ00,      22,      50,     4.3,454
4703,2030230,A048710,A018986,PV29    ,2021JJ00,       .,       .,       .,2486
4704,2030250,A048710,T001093,PV24    ,2020JJ00,     115,    1251,    42.1,2342
4705,2030250,A048710,A018982,PV21    ,2019JJ00,       .,       .,       .,28
4706,2030200,A048710,A018985,PV23    ,2022JJ00,      31,      23,     4.9,426
4707,2030250,A048710,T001093,PV23    ,2021JJ00,     121,    1169,    34.5,2280
4708,2030230,A048709,A018984,PV23    ,2020JJ00,      41,     190,    17.1,1533
4709,2030230,A048710,T001093,PV24    ,2022JJ00,     154,    2650,    89.0,2439
4710,2030200,A048710,A048584,PV24    ,2022JJ00,      24,       .,     7.9,2300
4711,2030170,A048710,A048583,PV22    ,2019JJ00,      92,    2454,    42.0,904
4712,2030200,A048710,A048583,PV30    ,2018JJ00,      71,     587,    17.2,1956
4713,2030200,A048709,A018986,PV22    ,2018JJ00,       .,       .,       .,3166
4714,2030210,A048710,A018985,PV27    ,2020JJ00,       7,       9,     1.4,265
4715,2030170,A048709,A018986,PV26    ,2022JJ00,      10,     244,     5.3,35
4716,2820740,A048709,A018986,PV28    ,2018JJ00,       5,     102,     2.5,1899
4717,2030190,A048709,A018984,PV20    ,2018JJ00,       .,       .,       .,1194
4718,2030230,A048710,A018985,PV21    ,2022JJ00,      26,      70,    14.6,19
4719,2030220,A048709,A018982,PV20    ,2021JJ00,       .,       .,       .,3351
4720,2030200,A048710,A018982,PV22    ,2018JJ00,       .,       .,       .,3359
4721,2030220,A048709,A048583,PV22    ,2018JJ00,      50,    1222,    22.6,1110
4722,2030220,A048710,A018981,PV24    ,2018JJ00,       .,       .,       .,1239
4723,2030220,A048709,A018986,PV23    ,2018JJ00,       .,       .,       .,2586
4724,2820740,A048710,A018982,PV31    ,2022JJ00,       .,       .,       .,2102
4725,2820740,A048710,T001093,PV28    ,2019JJ00,      40,    1114,    24.9,1613
4726,2030220,A048709,T001093,PV24    ,2020JJ00,      68,    1411,    31.7,3133
4727,2030170,A048709,A018985,PV23    ,2021JJ00,       .,       .,       .,450
4728,2820740,A048710,A048583,PV26    ,2019JJ00,      23,    1037,    17.1,408
4729,2030200,A048710,A018984,PV27    ,2020JJ00,      60,     117,    12.0,607
4730,2030210,A048710,A018982,PV21    ,2019JJ00,       .,       .,       .,1998
4731,2030210,A048710,A048583,PV30    ,2022JJ00,       6,     184,     3.5,2810
4732,2030210,A048709,A018985,PV23    ,2022JJ00,       .,       .,       .,383
4733,2030250,A048709,A018986,PV23    ,2020JJ00,       .,       .,       .,2353
4734,2030200,A048709,T001093,PV30    ,2021JJ00,     218,    1004,    49.6,1448
4735,2820740,A048710,A018985,PV26    ,2019JJ00,       .,       .,       .,478
4736,2030190,A048710,A018984,PV31    ,2021JJ00,       .,       .,       .,3086
4737,2030200,A048710,A018984,PV30    ,2019JJ00,      51,     105,     9.4,1754
4738,2030230,A048709,A018985,PV24    ,2022JJ00,      22,      56,    12.0,3049
4739,2030190,A048709,A048583,PV25    ,2019JJ00,      15,     164,     4.7,1135
4740,2030220,A048710,A018981,PV31    ,2020JJ00,       .,       .,       .,2164
4741,2030210,A048710,A018982,PV20    ,2021JJ00,       .,       .,       .,1442
4742,2030240,A048710,A048583,PV25    ,2018JJ00,       5,      91,     5.5,59
4743,2030210,A048710,A018986,PV25    ,2018JJ00,       .,       .,       .,65
4744,2820740,A048710,T001093,PV21    ,2019JJ00,      37,    1602,    27.7,897
4745,2030200,A048710,A018981,PV23    ,2019JJ00,       .,       .,       .,1833
4746,2030200,A048709,A018982,PV29    ,2019JJ00,       .,       .,       .,405
4747,2030250,A048709,A018986,PV26    ,2021JJ00,       .,       .,       .,392
4748,2030190,A048709,A018982,PV27    ,2022JJ00,       .,       .,       .,2707
4749,2030170,A048710,A018981,PV23    ,2018JJ00,       .,       .,       .,3089
4750,2030240,A048709,A048584,PV30    ,2021JJ00,       4,     142,     7.5,1129
4751,2820740,A048709,A048584,PV26    ,2018JJ00,       .,       .,       .,2804
4752,2030230,A048709,A018982,PV30    ,2021JJ00,       .,       .,       .,1794
4753,2030190,A048709,A018985,PV24    ,2019JJ00,       .,       .,       .,78
4754,2820740,A048709,A018985,PV26    ,2022JJ00,       .,       .,       .,1752
4755,2030220,A048710,A018984,PV22    ,2019JJ00,       .,       .,       .,2928
4756,2030170,A048709,A018981,PV26    ,2020JJ00,       8,     297,     9.1,3452
4757,2030170,A048710,A018986,PV30    ,2021JJ00,      11,     217,     4.8,639
4758,2030220,A048710,A018984,PV25    ,2021JJ00,      27,      95,     8.0,125
4759,2030190,A048710,A018982,PV22    ,2022JJ00,       .,       .,       .,408
4760,2030190,A048710,A048583,23,2018JJ00,      12,     127,     3.9,1756
4761,2030190,A048710,T001093,PV28    ,2019JJ00,      33,     237,    11.0,1546
4762,2030190,A048709,A018986,PV23    ,2019JJ00,       .,       .,       .,1725
4763,2030210,A048709,A048583,PV25    ,2022JJ00,       .,       .,       .,2099
4764,2030190,A048709,A018984,PV30    ,2022JJ00,       9,      21,     1.9,1251
4765,2030190,A048710,A018986,PV30    ,2020JJ00,       .,       .,       .,1233
4766,2030250,A048710,A018981,PV23    ,2022JJ00,       .,       .,       .,1167
4767,2820740,A048710,A018981,PV28    ,2021JJ00,       .,       .,       .,215
4768,2030230,A048709,A048584,PV24    ,2019JJ00,      26,    1018,    18.8,1300
4769,2030250,A048710,A018982,PV20    ,2021JJ00,       .,       .,       .,2199
4770,2030250,A048710,A048583,PV22    ,2022JJ00,      66,     798,    20.0,649
4771,2820740,A048710,A018984,PV25    ,2022JJ00,       .,       .,       .,755
4772,2030250,A048710,A018986,PV29    ,2018JJ00,       .,       .,       .,952
4773,2030210,A048709,A018986,PV24    ,2022JJ00,       .,       .,       .,2389
4774,2030250,A048709,A018982,PV29    ,2020JJ00,       .,       .,       .,996
4775,2030250,A048709,A018981,PV21    ,2020JJ00,       .,       .,       .,494
4776,2030240,A048710,A048583,PV21    ,2020JJ00,       .,       .,       .,1615
4777,2030190,A048710,A018984,PV28    ,2022JJ00,       8,      20,     1.7,2462
4778,2030230,A048710,A048584,PV28    ,2021JJ00,      23,     590,    13.8,275
4779,2030170,A048709,A018985,PV25    ,2019JJ00,       7,      16,       .,2619
4780,2030170,A048710,A048583,PV31    ,2020JJ00,      88,    1699,    35.9,906
4781,2030250,A048709,A018984,PV21    ,2019JJ00,      26,      47,     3.9,3246
4782,2030190,A048709,A048584,PV29    ,2018JJ00,       .,       .,       .,3364
4783,2030220,A048709,A048584,PV31    ,2018JJ00,      23,     637,    12.3,3345
4784,2820740,A048710,A018981,PV21    ,2022JJ00,       .,       .,       .,2914
4785,2030240,A048709,A018982,PV28    ,2021JJ00,       .,       .,       .,3387
4786,2030230,A048709,A048583,PV22    ,2019JJ00,      73,    1461,    29.4,2755
4787,2820740,A048709,A048584,PV31    ,2019JJ00,       .,       .,       .,466
4788,2030200,A048709,A018984,PV26    ,2022JJ00,      78,     157,    14.5,1611
4789,2030210,A048710,A018982,PV26    ,2018JJ00,       .,       .,       .,2619
4790,2030230,A048709,A018986,PV30    ,2022JJ00,       .,       .,       .,1277
4791,2030190,A048709,A048584,PV20    ,2022JJ00,       .,       .,       .,1546
4792,2030170,A048709,A018985,PV20    ,2021JJ00,       .,       .,       .,3276
4793,2030210,A048709,A048584,PV27    ,2019JJ00,       .,       .,       .,1102
4794,2030210,A048710,A048584,PV23    ,2022JJ00,       .,       .,       .,2344
4795,2030230,A048709,A018982,PV31    ,2021JJ00,       .,       .,       .,1668
4796,2820740,A048710,A018986,,2021JJ00,       .,       .,       .,1161
4797,2030190,A048710,A018985,PV31    ,2018JJ00,       .,       .,       .,583
4798,2820740,A048709,A018982,PV25    ,2020JJ00,       .,       .,       .,2509
4799,2030190,A048709,A018984,PV24    ,2019JJ00,       .,       .,       .,2333
4800,2030220,A048709,A018981,PV23    ,2020JJ00,       .,       .,       .,761
4801,2030220,A048710,A048583,PV21    ,2020JJ00,      34,    1016,    18.8,3162
4802,2030190,A048710,A048583,PV25    ,2018JJ00,      12,     119,     3.3,209
4803,2030220,A048709,A048584,PV28    ,2021JJ00,      14,     447,     8.6,570
4804,2030250,A048709,A048584,PV29    ,2020JJ00,       .,       .,       .,2137
4805,2030220,A048710,A018981,PV30    ,2020JJ00,       .,       .,       .,246
4806,2030250,A048709,A018981,PV31    ,2019JJ00,       .,       .,       .,456
4807,2030210,A048709,A048583,PV20    ,2022JJ00,       .,       .,       .,1021
4808,2030170,A048709,A018982,PV20    ,2020JJ00,       .,       .,       .,1838
4809,2030240,A048710,A048584,PV24    ,2021JJ00,       .,       .,       .,3069
4810,2030170,A048709,A048583,PV30    ,2018JJ00,     125,    2945,    60.7,2057
4811,2030210,A048710,A018982,PV27    ,2021JJ00,       4,      54,     2.7,2887
4812,2030200,A048710,A048584,PV24    ,2018JJ00,      28,     403,    11.2,2602
4813,2030250,A048709,A048584,PV20    ,2021JJ00,       .,       .,       .,2175
4814,2030230,A048709,A018982,PV26    ,2019JJ00,       .,       .,       .,639
4815,2030190,A048710,A018986,PV27    ,2021JJ00,       .,       .,       .,1932
4816,2030190,A048710,T001093,PV28    ,2022JJ00,      30,     194,     9.4,2058
4817,2030190,A048710,A018985,PV31    ,2019JJ00,       .,       .,       .,448
4818,2030220,A048709,A018984,PV22    ,2018JJ00,      25,     102,     8.1,2068
4819,2030240,A048709,T001093,PV21    ,2020JJ00,     112,     936,   106.5,2898
4820,2030250,A048710,A018981,PV20    ,2022JJ00,       .,       .,       .,1895
4821,2030220,A048710,A048583,PV20    ,2018JJ00,      28,    1022,    17.0,239
4822,2030210,A048710,A048584,PV27    ,2018JJ00,       7,      60,     2.4,2903
4823,2030170,A048709,A048584,PV21    ,2021JJ00,       .,       .,       .,3056
4824,2030220,A048710,A048583,PV20    ,2019JJ00,      29,     854,    15.4,1522
4825,2030170,A048710,A048584,PV20    ,2019JJ00,       .,       .,       .,3469
4826,2030230,A048709,A048583,PV24    ,2019JJ00,      51,     779,    17.9,1199
4827,2820740,A048710,A048583,PV24    ,2022JJ00,      14,     475,     8.9,2946
4828,2030250,A048709,A018986,PV31    ,2020JJ00,       .,       .,       .,571
4829,2030190,A048710,A018982,PV31    ,2020JJ00,       .,       .,       .,2264
4830,2030200,A048710,T001093,PV31    ,2018JJ00,     214,    1121,    51.5,2478
4831,2030220,,A048583,PV31    ,2021JJ00,      39,     842,    16.8,467
4832,2030220,A048709,A018985,PV28    ,2021JJ00,      13,      16,     2.7,2876
4833,2030170,A048709,A018986,PV29    ,2021JJ00,       .,       .,       .,822
4834,2820740,A048710,A018981,PV30    ,2019JJ00,       .,       .,       .,2677
4835,2030220,A048710,T001093,PV23    ,2022JJ00,     112,    1815,    46.3,1401
4836,2030210,A048710,A018986,PV23    ,2019JJ00,       .,       .,       .,817
4837,2030190,A048710,A018981,PV25    ,2019JJ00,       .,       .,       .,1752
4838,2030220,A048709,A018985,PV23    ,2021JJ00,      15,      13,       .,725
4839,2030190,A048710,A048583,PV26    ,2020JJ00,      11,     136,     3.8,1427
4840,2820740,A048709,A018984,PV31    ,2019JJ00,       .,       .,       .,2345
4841,2030170,A048709,A018984,PV25    ,2019JJ00,      50,     245,    15.4,2143
4842,2030220,A048710,A018985,PV26    ,2020JJ00,      14,      11,     1.9,1894
4843,2030170,A048709,A018986,PV21    ,2020JJ00,       .,       .,       .,2469
4844,2820740,A048710,A018982,PV30    ,2018JJ00,       .,       .,       .,1934
4845,2030220,A048709,A018982,PV23    ,2021JJ00,       .,       .,       .,2314
4846,2030210,A048709,A018982,PV27    ,2020JJ00,       4,      65,     2.9,2129
4847,2030210,A048709,A018981,PV30    ,2019JJ00,       7,     322,     8.2,3039
4848,2030210,A048710,A048584,PV28    ,2018JJ00,       8,      57,     2.3,237
4849,2030220,A048709,A018982,PV20    ,2018JJ00,       .,       .,       .,153
4850,2030190,A048709,A048584,PV28    ,2022JJ00,       3,      36,     1.3,3090
4851,2030220,A048710,T001093,PV28    ,2022JJ00,      89,    1590,    41.2,578
4852,2030240,A048710,A018982,PV25    ,2018JJ00,       .,       .,       .,286
4853,2030190,A048710,A018982,PV31    ,2021JJ00,       .,       .,       .,29
4854,2030240,A048709,A048583,PV20    ,2018JJ00,       .,       .,       .,1600
4855,2030220,A048710,A048583,PV25    ,2020JJ00,      37,     822,    16.5,306
4856,2030200,A048710,A018985,PV22    ,2022JJ00,      29,      23,     4.8,1459
4857,2030240,A048709,A018982,PV31    ,2020JJ00,       .,       .,       .,1099
4858,2030210,A048709,A048584,PV28    ,2022JJ00,       2,       .,     1.0,1726
4859,2030240,A048709,A018981,PV25    ,2020JJ00,       .,       .,       .,2448
4860,2030170,A048709,A018984,PV24    ,2020JJ00,      31,     105,     7.7,1746
4861,2030170,A048709,A048584,PV26    ,2018JJ00,       .,       .,       .,810
4862,2030220,A048709,A018984,PV29    ,2020JJ00,       .,       .,       .,1150
4863,2030240,A048709,A018986,PV31    ,2020JJ00,       .,       .,       .,228
4864,2030240,A048709,A018984,PV26    ,2020JJ00,      14,     219,    25.8,1860
4865,2030170,A048710,A018981,PV21    ,2018JJ00,       .,       .,       .,3213
4866,2030200,A048710,T001093,PV20    ,2018JJ00,     234,    1610,    57.9,2178
4867,2030240,A048709,A048583,PV20    ,2022JJ00,       .,       .,       .,181
4868,2030240,A048709,A048584,PV20    ,2019JJ00,       .,       .,       .,2283
4869,2030220,A048709,A018985,PV22    ,2018JJ00,       .,       .,       .,1979
4870,2030230,A048709,A018981,PV22    ,2018JJ00,       .,       .,       .,3377
4871,2030210,A048709,A048583,PV29    ,2019JJ00,       .,       .,       .,1941
4872,2030240,A048709,A048584,PV23    ,2019JJ00,       .,       .,       .,906
4873,2030220,A048709,A018986,PV23    ,2022JJ00,       .,       .,       .,2207
4874,2030230,A048710,A018982,PV28    ,2018JJ00,       7,      83,     5.4,1895
4875,2030250,A048710,A048584,PV24    ,2022JJ00,       .,       .,       .,2528
4876,2030250,A048709,A018982,PV30    ,2021JJ00,       .,       .,       .,305
4877,2030230,A048710,A048584,PV30    ,2021JJ00,      26,     505,    12.1,1321
4878,2030230,A048709,A018986,PV25    ,2021JJ00,       .,       .,       .,484
4879,2030220,A048709,A018982,PV24    ,2022JJ00,       .,       .,       .,982
4880,2820740,A048710,A048584,PV27    ,2020JJ00,       .,       .,       .,2496
4881,2030240,A048710,A018986,PV24    ,2019JJ00,       .,       .,       .,1552
4882,2030250,A048710,A018984,PV23    ,2022JJ00,      35,      61,     5.5,34
4883,2030200,A048709,A018985,PV28    ,2022JJ00,      61,      56,    12.4,2337
4884,2030230,A048709,A018981,PV20    ,2021JJ00,       .,       .,       .,510
4885,2820740,A048709,A048583,PV20    ,2018JJ00,       .,       .,       .,2816
4886,2030170,A048710,A048584,PV20    ,2022JJ00,       .,       .,       .,3119
4887,2030250,A048709,A048584,PV28    ,2021JJ00,       9,     184,     4.0,305
4888,2030250,A048710,T001093,PV20    ,2019JJ00,      94,    1623,    46.6,868
4889,2030190,A048709,A018984,PV31    ,2020JJ00,       .,       .,       .,2916
4890,2030190,A048709,A018981,PV24    ,2019JJ00,       .,       .,       .,2645
4891,2820740,A048709,A018986,PV21    ,2018JJ00,       .,       .,       .,2551
4892,2820740,A048709,T001093,PV31    ,2019JJ00,      43,     983,    20.1,1358
4893,2030190,A048709,A018981,PV30    ,2022JJ00,       .,       .,       .,2111
4894,2030170,A048710,A018982,PV21    ,2021JJ00,       .,       .,       .,2307
4895,2030250,A048710,A018982,PV24    ,2022JJ00,       .,       .,       .,1818
4896,2030230,A048710,A018984,PV30    ,2022JJ00,      55,     239,    23.3,2348
4897,2030200,A048709,A018982,PV25    ,2020JJ00,       .,       .,       .,3435
4898,2030170,A048709,T001093,PV30    ,2021JJ00,     155,    2600,    62.9,2532
4899,2030240,A048709,A048584,PV27    ,2020JJ00,       3,       .,     3.9,435
4900,2030230,A048709,A048583,PV22    ,2022JJ00,      60,    1090,    26.7,1921
4901,2030200,A048709,A018986,PV21    ,2019JJ00,       .,       .,       .,1542
4902,2030230,A048710,A018981,PV23    ,2018JJ00,       .,       .,       .,281
4903,2030220,A048710,A018985,PV20    ,2021JJ00,       .,       .,       .,51
4904,2030250,A048709,A048583,PV25    ,2020JJ00,      55,     692,    16.7,3109
4905,2030240,A048710,A018981,PV30    ,2022JJ00,       .,       .,       .,142
4906,2030170,A048710,A018982,PV27    ,2022JJ00,       9,     120,     6.4,299
4907,2030230,A048709,A018982,PV22    ,2020JJ00,       .,       .,       .,1200
4908,2030210,A048710,A018984,PV20    ,2020JJ00,      30,     100,     8.3,1264
4909,2030220,A048709,A018981,PV29    ,2020JJ00,       .,       .,       .,1617
4910,2030190,A048709,A018982,PV27    ,2021JJ00,       .,       .,       .,3481
4911,2030220,A048709,A018984,PV27    ,2018JJ00,      21,      86,     6.6,1889
4912,2030190,A048709,A048584,PV22    ,2020JJ00,       .,       .,       .,3435
4913,2030200,A048710,A018985,PV24    ,2021JJ00,      46,      37,     7.5,2507
4914,2030220,A048709,A018986,PV27    ,2021JJ00,       .,       .,       .,735
4915,2820740,A048710,T001093,PV31    ,2018JJ00,      25,     910,    16.4,1714
4916,2030190,A048710,A018985,PV30    ,2020JJ00,       .,       .,       .,1733
4917,2030220,,A018985,PV25    ,2020JJ00,      14,      11,     2.1,246
4918,2030190,A048710,A018981,PV27    ,2022JJ00,       .,       .,       .,1499
4919,2030190,A048710,A018982,PV20    ,2022JJ00,       .,       .,       .,620
4920,2030230,A048710,A018985,PV30    ,2021JJ00,      27,      90,    18.1,1602
4921,2030220,A048710,A018981,PV22    ,2020JJ00,       .,       .,       .,3404
4922,2030200,A048710,A018986,PV30    ,2018JJ00,       5,       .,       .,553
4923,2030170,A048709,A048584,PV26    ,2022JJ00,       4,      92,     2.1,398
4924,2030250,A048709,A048584,PV28    ,2018JJ00,       8,     174,     3.7,79
4925,2030210,A048709,A048584,PV24    ,2019JJ00,       .,       .,       .,390
4926,2030200,A048710,A018982,PV21    ,2020JJ00,       .,       .,       .,1979
4927,2030170,A048710,A048584,PV25    ,2020JJ00,       .,       .,       .,3495
4928,2030170,A048709,A048583,PV25    ,2020JJ00,      83,    1937,    38.1,464
4929,2030200,A048709,T001093,PV30    ,2019JJ00,     210,    1196,    48.6,2415
4930,2030250,A048709,T001093,PV23    ,2020JJ00,     112,     954,    28.5,1176
4931,2030210,A048710,A018984,PV24    ,2022JJ00,      36,      94,     9.9,180
4932,2030240,A048709,A048583,PV30    ,2022JJ00,       6,     181,     8.1,2365
4933,2030250,A048710,A018981,PV22    ,2022JJ00,       .,       .,       .,3089
4934,2030190,A048709,A048583,PV30    ,2019JJ00,      14,     116,     3.8,1763
4935,2030190,A048709,A018985,PV22    ,2018JJ00,       .,       .,       .,1423
4936,2030220,A048709,A018982,PV23    ,2018JJ00,       .,       .,       .,2209
4937,2030240,A048709,A018982,PV28    ,2018JJ00,       .,       .,       .,2327
4938,2030170,A048709,A048583,PV30    ,2021JJ00,      90,    1964,    40.2,1629
4939,2820740,A048710,A018982,PV25    ,2022JJ00,       .,       .,       .,2595
4940,2030190,A048710,T001093,PV23    ,2021JJ00,      28,     280,     9.1,3132
4941,2030210,A048710,A018985,PV29    ,2019JJ00,       .,       .,       .,1579
4942,2030190,A048710,A018985,PV27    ,2021JJ00,       5,       7,     1.2,2993
4943,2030250,A048710,A018985,PV23    ,2022JJ00,      16,      13,     2.8,2095
4944,2030250,A048709,A018984,PV30    ,2022JJ00,      23,      51,     5.1,1813
4945,2030240,A048710,A018986,PV22    ,2021JJ00,       .,       .,       .,245
4946,2820740,A048710,A018984,PV29    ,2019JJ00,       .,       .,       .,1961
4947,2030210,A048709,T001093,PV25    ,2018JJ00,      55,     756,    28.2,3418
4948,2030220,A048709,A048583,PV22    ,2022JJ00,      43,    1175,    21.4,3058
4949,2030230,A048710,T001093,PV21    ,2021JJ00,     135,    2134,    83.2,313
4950,2030240,A048709,A048584,PV24    ,2018JJ00,       .,       .,       .,2314
4951,2030190,A048710,A018984,PV23    ,2021JJ00,       .,       .,       .,883
4952,2820740,A048710,A018986,PV30    ,2020JJ00,       .,-345,       .,309
4953,2030210,A048710,T001093,PV20    ,2022JJ00,      64,     583,    27.7,2432
4954,2030220,A048709,T001093,PV25    ,2020JJ00,      96,    1765,    41.0,3185
4955,2820740,A048709,A048584,PV25    ,2020JJ00,       .,       .,       .,1346
4956,2030250,A048710,A018981,PV24    ,2018JJ00,       .,       .,       .,2351
4957,2030190,A048710,A048584,PV29    ,2022JJ00,       .,       .,       .,436
4958,2030210,A048709,A018981,PV20    ,2018JJ00,       .,       .,       .,2690
4959,2030230,A048710,A048584,PV24    ,2020JJ00,      31,     739,    16.7,2780
4960,2820740,A048710,A018985,PV30    ,2020JJ00,       .,       .,       .,1864
4961,2030220,A048709,A048584,PV31    ,2021JJ00,      17,     260,     6.5,3506
4962,2030210,A048709,T001093,PV22    ,2022JJ00,      41,     678,    24.4,129
4963,2030220,A048710,A048583,PV20    ,2022JJ00,      34,     932,    19.4,2156
4964,2030170,A048709,A018984,PV27    ,2022JJ00,      48,     224,    16.7,86
4965,2030190,A048710,A048584,PV24    ,2022JJ00,       .,       .,       .,2018
4966,2820740,A048709,A018984,PV28    ,2022JJ00,       4,      19,     1.5,2923
4967,2030250,A048709,A048583,PV25    ,2018JJ00,      62,     796,    19.2,107
4968,2030190,A048709,A048584,PV30    ,2021JJ00,       4,      65,     1.7,1649
4969,2820740,A048709,A018981,PV21    ,2022JJ00,       .,       .,       .,2392
4970,2030250,A048710,A018984,PV31    ,2021JJ00,      10,       .,       .,1778
4971,2030190,A048709,A018982,PV23    ,2022JJ00,       .,       .,       .,1850
4972,2030240,A048710,A018985,PV26    ,2021JJ00,      88,     297,    72.6,1078
4973,2030220,A048710,A048584,PV31    ,2022JJ00,      19,     479,     9.1,2659
4974,2030220,A048710,A048583,PV22    ,2018JJ00,      47,    1150,    21.2,2847
4975,2820740,A048710,A018985,PV27    ,2021JJ00,       .,       .,       .,1494
4976,2820740,A048709,A018982,PV26    ,2018JJ00,       .,       .,       .,1719
4977,2030170,A048710,A018984,PV24    ,2019JJ00,      35,     120,     8.0,123
4978,2820740,A048710,A018985,PV27    ,2018JJ00,       .,       .,       .,195
4979,2030170,A048709,A018984,PV25    ,2021JJ00,      41,     172,    11.9,438
4980,2820740,A048709,A018985,PV20    ,2021JJ00,       .,       .,       .,572
4981,2030240,A048709,A018981,PV28    ,2019JJ00,       .,       .,       .,1342
4982,2030210,A048710,A018982,PV22    ,2018JJ00,       .,       .,       .,3497
4983,2820740,A048710,A018982,PV25    ,2021JJ00,       .,       .,       .,246
4984,2030220,A048709,A018985,PV31    ,2018JJ00,      15,      17,     3.0,3402
4985,2030190,A048710,A048584,PV25    ,2018JJ00,       6,      79,     2.3,199
4986,2030240,A048709,A048583,PV21    ,2020JJ00,       .,       .,       .,2237
4987,2030210,,T001093,PV28    ,2018JJ00,      83,     638,    31.9,1627
4988,2030220,A048709,T001093,PV31    ,2019JJ00,     107,    1819,    43.4,2250
4989,2030240,A048710,A048584,PV28    ,2018JJ00,       2,      48,     2.6,1885
4990,2030170,A048710,A018981,PV24    ,2020JJ00,       .,       .,       .,1640
4991,2030240,A048709,A048584,PV20    ,2020JJ00,       .,       .,       .,2270
4992,2030230,A048710,T001093,PV24    ,2021JJ00,     103,    2001,    76.9,612
4993,2030230,A048709,T001093,PV29    ,2022JJ00,     153,    1709,    70.0,1012
4994,2030190,A048710,A048583,PV20    ,2019JJ00,       .,       .,       .,2960
4995,2820740,A048709,A018981,PV29    ,2019JJ00,       .,       .,       .,2551
4996,2820740,A048710,A018982,PV25    ,2018JJ00,       .,       .,       .,3138
4997,2820740,A048709,A018986,PV26    ,2021JJ00,       5,     122,     2.7,1124
4998,2030200,A048709,T001093,PV24    ,2018JJ00,     213,    1557,,1798
4999,2030200,A048709,A018985,PV21    ,2021JJ00,      26,      24,     4.6,1353
5000,2030230,A048709,A048583,PV27    ,2021JJ00,      32,     713,    17.1,562
5001,2030200,A048709,A048584,PV28    ,2020JJ00,      18,     179,     5.6,2151
5002,2030190,A048710,T001093,PV22    ,2019JJ00,      31,       .,     8.1,1338
5003,2030250,A048710,A018984,PV22    ,2020JJ00,       .,       .,       .,3246
5004,2030210,A048709,A018986,PV25    ,2022JJ00,       .,       .,       .,58
5005,2030210,A048709,A048584,PV26    ,2018JJ00,       .,       .,       .,900
5006,2030210,A048710,T001093,PV21    ,2019JJ00,      72,     829,    30.1,1205
5007,2030220,A048710,A048583,PV30    ,2018JJ00,      45,    1080,    21.0,2440
5008,2820740,A048709,A018982,PV29    ,2018JJ00,       .,       .,       .,3302
5009,2030170,A048710,A018981,PV31    ,2020JJ00,       .,       .,       .,431
5010,2030200,A048710,T001093,PV29    ,2020JJ00,     177,     870,    38.4,112
5011,2030220,A048709,A048583,PV20    ,2019JJ00,      31,     903,    16.3,18
5012,2030240,A048709,A018985,PV21    ,2022JJ00,      83,     280,    63.4,1580
5013,2030220,A048710,A048583,PV30    ,2022JJ00,      40,     908,    18.3,3467
5014,2030210,A048709,A018986,PV28    ,2022JJ00,       .,       .,       .,2060
5015,2820740,A048710,T001093,PV27    ,2019JJ00,      33,     976,    21.4,1197
5016,2820740,A048710,A018986,PV29    ,2019JJ00,       .,       .,       .,2477
5017,2030190,A048709,A018986,,2021JJ00,       .,       .,       .,228
5018,2030220,A048709,A018982,PV28    ,2020JJ00,       2,      24,     1.2,1202
5019,2820740,A048710,A048583,PV22    ,2019JJ00,       .,       .,       .,717
5020,2820740,A048710,A048584,PV30    ,2019JJ00,       .,       .,       .,1971
5021,2030210,A048710,A048583,PV30    ,2021JJ00,       .,       .,       .,2238
